----------------------------------------------------------------------------------------------
Bean传感器AX 3DS

Mac Id : 00158D00000E09D4
网络ID : 0002
Pan Id : 3900
传感器ID : 0
传感器标签 : Ch_X

比率 : 1
偏移量 : 0
单位 : g

DATE_FORMAT : yyyy/M/d tt hh:mm:ss
日期 : 2020/2/1 上午 12:05:16

数据采集周期 : 304
数据采集持续时间 : 300
抽样率 : 400
截止频率 : 8
----------------------------------------------------------------------------------------------
测量目录;测量值

0;0.9645
1;0.9761
2;1.0137
3;1.0282
4;0.9645
5;0.9442
6;0.9587
7;0.9877
8;0.9877
9;1.0108
10;0.9558
11;0.9413
12;0.9732
13;1.0021
14;1.1441
15;1.0108
16;1.1209
17;0.9587
18;0.9848
19;1.0282
20;0.9963
21;0.8718
22;1.0253
23;0.9848
24;1.0775
25;1.2542
26;1.373
27;1.0775
28;1.0688
29;0.9471
30;1.0398
31;0.9297
32;0.9674
33;1.0311
34;0.9905
35;1.0891
36;1.0891
37;1.0427
38;1.118
39;1.0804
40;0.9094
41;1.1093
42;0.7298
43;1.034
44;0.95
45;0.8746
46;0.9963
47;1.1615
48;1.1702
49;1.0485
50;0.9877
51;0.808
52;0.9297
53;0.9877
54;0.9558
55;1.1499
56;0.9587
57;1.1267
58;1.0282
59;1.1383
60;1.0456
61;0.9616
62;0.9732
63;1.0659
64;1.034
65;1.0717
66;1.092
67;0.9992
68;0.9123
69;1.1238
70;1.1296
71;1.005
72;1.0949
73;0.9413
74;1.0833
75;1.0369
76;1.1847
77;1.1644
78;1.0137
79;0.9558
80;0.8804
81;0.9645
82;0.9094
83;1.034
84;0.9355
85;0.9239
86;1.0949
87;0.9703
88;1.0485
89;0.8486
90;0.7993
91;1.0224
92;0.8746
93;1.0514
94;0.892
95;0.9645
96;1.0079
97;1.0021
98;1.0253
99;1.0311
100;0.9732
101;1.0282
102;1.1036
103;1.0224
104;1.063
105;0.9732
106;1.0398
107;1.1267
108;1.0514
109;0.9877
110;1.0543
111;1.0137
112;1.0514
113;1.0427
114;1.0427
115;1.0253
116;1.0804
117;1.0659
118;1.0253
