----------------------------------------------------------------------------------------------
Bean传感器AX 3DS

Mac Id : 00158D00000E09D4
网络ID : 0002
Pan Id : 3900
传感器ID : 1
传感器标签 : Ch_Y

比率 : 1
偏移量 : 0
单位 : g

DATE_FORMAT : yyyy/M/d tt hh:mm:ss
日期 : 2020/2/1 上午 12:10:20

数据采集周期 : 304
数据采集持续时间 : 300
抽样率 : 400
截止频率 : 8
----------------------------------------------------------------------------------------------
测量目录;测量值

0;0.0148
1;0.0535
2;0.1309
3;0.0327
4;0.0684
5;0.0208
6;0.0416
7;-0.0118
8;-0.0445
9;-0.0177
10;0.0356
11;0.116
12;0.1517
13;0.1369
14;-0.0148
15;0.1517
16;0.0476
17;0.0089
18;0.119
19;0.0535
20;0.1666
21;0.1249
22;0.0743
23;0.0327
24;0.0773
25;0.0743
26;-0.0237
27;-0.0029
28;0.0089
29;0.0356
30;0.1428
31;0.0059
32;0.0595
33;0.1339
34;0.113
35;0.0863
36;0.0356
37;0.0327
38;0.1369
39;0.0446
40;0.1488
41;-0.0505
42;0.0267
43;0.1369
44;0.0001
45;0.0118
46;0.0297
47;0.0595
48;0.0356
49;-0.0326
50;0.0535
51;-0.0237
52;0.0982
53;0.0148
54;0.0743
55;0.0863
56;0.2381
57;0.0327
58;0.122
59;0.0356
60;0.119
61;0.1547
62;-0.0118
63;0.1398
64;0.0952
65;-0.0237
66;0.1041
67;0.0208
68;0.1309
69;-0.0832
70;0.0654
71;0.119
72;0.1726
73;0.0565
74;-0.0296
75;0.1607
76;-0.0207
77;0.0089
78;0.0595
79;0.1398
80;0.1309
81;0.1875
82;-0.0505
83;-0.0148
84;0.0505
85;0.1011
86;0.0952
87;0.0654
88;0.1369
89;0.0476
90;0.116
91;0.0118
92;0.113
93;0.0446
94;0.0565
95;-0.0356
96;0.0178
97;-0.0386
98;0.1458
99;0.0297
100;0.0952
101;-0.11
102;0.1041
103;0.1249
104;0.1309
105;0.1428
106;0.0982
107;0.2619
108;0.0476
109;0.0505
110;-0.0058
111;0.0059
112;-0.0118
113;-0.0326
114;0.0001
115;0.0059
116;0.0089
117;0.0505
118;0.0059
119;0.1101
120;0.0535
121;0.0892
122;0.0565
123;0.0237
124;0.0833
125;0.1071
126;0.1309
127;0.0327
128;0.0773
129;0.1041
130;0.1726
131;0.0743
132;0.0148
133;-0.0088
134;0.0356
135;0.0952
136;0.0297
137;-0.0148
138;0.0178
139;0.0922
140;-0.0267
141;-0.0118
142;-0.0475
143;0.0803
144;0.0535
145;-0.0237
146;0.1101
147;0.0001
148;0.0327
149;0.1101
150;0.0922
151;0.0297
152;0.0178
153;0.0001
154;-0.0118
155;0.0565
156;0.0476
157;0.0386
158;0.122
159;0.0535
160;0.0684
161;0.0059
162;0.2589
163;-0.1219
164;0.0535
165;0.1309
166;0.2083
167;0.1309
168;0.1071
169;0.1488
170;0.0684
171;0.1726
172;0.0803
173;0.0476
174;0.1577
175;0.0952
176;0.0208
177;-0.1309
178;-0.0981
179;0.0833
180;0.0476
181;0.1071
182;-0.1993
183;-0.0624
184;0.0654
185;0.1726
186;-0.0177
187;0.0148
188;-0.0564
189;-0.1368
190;0.241
191;0.0089
192;0.0624
193;0.1785
194;0.1398
195;0.2351
196;0.0001
197;0.0833
198;0.0595
199;0.1904
200;0.0595
201;0.0654
202;0.0356
203;0.1101
204;0.0267
205;0.0001
206;0.0714
207;0.0297
208;-0.0177
209;-0.0267
210;-0.0118
211;0.1369
212;0.1517
213;0.0833
214;0.0803
215;-0.0058
216;0.1577
217;0.119
218;0.0237
219;-0.0386
220;0.1398
221;0.0356
