----------------------------------------------------------------------------------------------
Bean传感器AX 3DS

Mac Id : 00158D00000E09D4
网络ID : 0002
Pan Id : 3900
传感器ID : 2
传感器标签 : Ch_Z

比率 : 1
偏移量 : 0
单位 : g

DATE_FORMAT : yyyy/M/d tt hh:mm:ss
日期 : 2020/2/1 上午 12:10:20

数据采集周期 : 304
数据采集持续时间 : 300
抽样率 : 400
截止频率 : 8
----------------------------------------------------------------------------------------------
测量目录;测量值

0;-0.4159
1;-0.2903
2;0.1418
3;0.4719
4;0.7698
5;0.7494
6;0.4865
7;-0.1355
8;-0.4013
9;-0.4714
10;-0.6291
11;-0.267
12;0.0863
13;0.5916
14;0.7318
15;0.5653
16;0.0629
17;0.0133
18;-0.3604
19;-0.4305
20;-0.524
21;0.0104
22;0.4485
23;0.7698
24;0.5887
25;0.1009
26;-0.1735
27;-0.2611
28;-0.5357
29;-0.6759
30;-0.2115
31;0.4018
32;0.5332
33;0.7026
34;0.2849
35;-0.264
36;-0.2932
37;-0.7168
38;-0.6408
39;-0.1063
40;0.4456
41;1.0473
42;1.1466
43;0.393
44;0.0016
45;-0.6438
46;-1.1053
47;-1.3068
48;-0.6584
49;0.0863
50;1.094
51;1.1875
52;0.986
53;0.5887
54;-0.3224
55;-0.8219
56;-1.1111
57;-0.9008
58;-0.6963
59;0.8253
60;1.1408
61;1.0444
62;0.6559
63;0.0308
64;-0.4948
65;-1.2309
66;-1.1316
67;-0.6993
68;0.9509
69;1.1057
70;1.427
71;1.1933
72;0.8107
73;-0.2173
74;-1.3185
75;-1.3565
76;-0.9505
77;0.3375
78;0.8808
79;1.2985
80;1.1116
81;0.8779
82;0.06
83;-0.486
84;-1.5872
85;-1.2279
86;-0.4305
87;0.4427
88;1.059
89;1.3102
90;1.2196
91;0.7172
92;0.1097
93;-1.0556
94;-1.2922
95;-0.968
96;-0.413
97;-0.0596
98;0.7026
99;0.7552
100;0.7172
101;0.5157
102;-0.3721
103;-0.4714
104;-0.4218
105;-0.1092
106;0.1214
107;0.2674
108;0.6676
109;0.6384
110;0.0775
111;-0.156
112;-0.6642
113;-0.6291
114;-0.264
115;0.0337
116;0.5624
117;0.7902
118;0.726
119;0.6121
120;-0.2056
121;-0.6671
122;-0.6233
123;-0.5678
124;-0.3487
125;0.0892
126;0.7114
127;0.9451
128;0.764
129;0.1476
130;-0.2932
131;-0.6788
132;-0.7518
133;-0.746
134;-0.153
135;0.1301
136;0.7961
137;0.7201
138;0.6091
139;0.133
140;-0.2085
141;-0.4802
142;-0.6145
143;-0.3487
144;-0.1209
145;0.6793
146;1.0414
147;0.6354
148;0.2528
149;-0.08
150;-0.708
151;-0.7518
152;-0.7723
153;-0.2874
154;0.5478
155;0.7961
156;0.9947
157;0.6646
158;0.1447
159;-0.3224
160;-0.6291
161;-0.857
162;-0.5766
163;0.247
164;0.3287
165;1.0356
166;0.8808
167;0.3959
168;-0.2611
169;-0.8161
170;-0.7372
171;-0.9329
172;0.0133
173;0.2177
174;0.875
175;0.577
176;0.3638
177;0.0074
178;0.0396
179;-0.4919
180;-0.7694
181;-0.2377
182;0.1564
183;0.7815
184;0.4835
185;0.2908
186;0.4456
187;0.2148
188;-0.2757
189;-0.6905
190;-0.8745
191;-0.3195
192;-0.0391
193;0.4631
194;0.3638
195;0.6121
196;0.7201
197;0.5128
198;-0.264
199;-0.413
200;-0.6058
201;-0.2962
202;-0.0245
203;0.3696
204;0.4222
205;0.5916
206;0.3609
207;-0.1034
208;-0.1589
209;-0.3108
210;-0.1998
211;-0.0537
212;-0.042
213;0.3521
214;0.4222
215;0.3054
216;-0.2786
217;-0.5211
218;-0.3517
219;0.0133
220;-0.0042
221;0.0659
222;0.539
223;0.5624
224;0.3959
225;-0.0128
226;-0.6876
227;-0.6291
228;-0.2056
229;-0.1326
230;-0.0975
231;0.6296
232;0.504
233;0.7143
234;-0.08
235;-0.153
236;-0.5065
237;-0.4539
238;-0.2494
239;-0.2786
240;0.1798
241;0.2908
242;0.6296
243;0.4719
244;-0.1092
245;-0.0158
246;-0.1092
247;-0.1092
248;-0.4101
249;-0.2085
250;0.2411
251;0.3579
252;0.3287
253;-0.045
254;-0.0683
255;-0.2144
256;0.1944
257;0.0279
258;-0.0917
259;0.4485
260;0.2674
261;0.3112
262;-0.1647
263;-0.153
264;-0.3867
265;-0.3049
266;-0.3166
267;-0.0128
268;0.2586
269;0.5566
270;0.4105
271;0.2499
272;0.542
273;-0.0917
274;-0.1151
275;-0.413
276;-0.2757
277;-0.267
278;-0.3195
279;0.7494
280;0.3609
281;0.3375
282;0.0863
283;-0.118
284;-0.3137
285;-0.6233
286;-0.4159
287;-0.1647
288;0.4573
289;0.3667
290;0.4164
291;0.4602
292;0.209
293;-0.1822
294;-0.5123
295;-0.3575
296;-0.34
297;0.0483
298;0.2382
299;0.3112
300;0.4368
301;0.1944
302;-0.0712
303;-0.4072
304;-0.4276
305;-0.1501
306;0.133
307;0.3959
308;0.4368
309;0.2908
310;0.1739
311;-0.0917
312;-0.3517
313;-0.3896
314;-0.3166
315;0.1214
316;0.0688
317;0.1973
318;0.171
319;0.1593
320;0.0951
321;-0.0712
322;0.1535
323;0.3433
324;0.3463
325;0.6004
326;0.0892
327;0.0892
328;-0.4334
329;-0.781
330;-0.9972
331;-0.5123
332;-0.042
333;0.615
334;0.91
335;1.1554
336;0.7844
337;0.3521
338;-0.3195
339;-1.0322
340;-0.8803
341;-0.9183
342;0.171
343;0.8603
344;0.761
345;0.8866
346;0.6238
347;0.0746
348;-0.3867
349;-1.2922
350;-0.6204
351;-0.1414
352;0.5332
353;0.7844
354;0.9246
355;0.8136
356;0.4251
357;-0.0187
358;-0.892
359;-0.7577
360;-0.5328
361;0.2499
362;0.4806
363;0.8691
364;0.872
365;0.6004
366;0.0775
367;-0.6584
368;-1.0235
369;-0.7723
370;-0.2874
371;0.0016
372;0.5916
373;0.542
374;1.1758
375;0.6121
376;-0.3458
377;-0.6759
378;-0.6993
379;-0.2202
380;-0.4393
381;0.0629
382;0.4573
383;0.6091
384;0.6091
385;0.1622
386;-0.2494
387;-0.4977
388;-0.4013
389;-0.2465
390;-0.0625
391;-0.045
392;0.6676
393;0.4835
394;0.282
395;-0.1267
396;-0.4481
397;-0.3049
398;-0.5357
399;-0.2582
400;-0.0245
401;0.3842
402;0.7289
403;0.2703
404;0.0688
405;-0.0975
406;-0.3224
407;-0.5006
408;-0.4334
409;-0.2757
410;0.4281
411;0.6939
412;0.4806
413;0.1301
414;-0.1326
415;-0.375
416;-0.2728
417;-0.3137
418;-0.1589
419;0.3726
420;0.4835
421;0.6384
422;0.2849
423;0.0571
424;-0.1355
425;-0.2903
426;-0.6905
427;-0.6145
428;-0.1326
429;0.1856
430;0.3784
431;0.6442
432;0.7026
433;0.4894
434;0.1593
435;-0.6379
436;-0.8511
437;-0.6993
438;-0.4451
439;0.0366
440;0.4105
441;0.9246
442;0.9188
443;0.9246
444;-0.1472
445;-0.4831
446;-0.9125
447;-0.6029
448;-0.2932
449;0.2586
450;0.6384
451;0.9392
452;0.7347
453;0.0074
454;-0.5795
455;-0.8803
456;-0.7022
457;-0.7285
458;0.022
459;0.8399
460;1.3452
461;0.8574
462;0.7815
463;0.0746
464;-0.7752
465;-0.9651
466;-0.746
467;-0.4627
468;-0.1092
469;1.1116
470;1.1933
471;0.4894
472;0.0571
473;-0.3166
474;-0.7489
475;-0.9008
476;-0.67
477;0.0279
478;0.8808
479;1.0823
480;0.948
481;0.4222
482;0.1885
483;-0.3809
484;-0.5006
485;-0.7255
486;-0.1793
487;0.3784
488;0.6004
489;0.5712
490;0.0483
491;-0.1209
492;-0.6379
493;-0.267
494;-0.4393
495;-0.0742
496;0.4076
497;1.0152
498;1.0356
499;0.6267
500;-0.0216
501;-0.5065
502;-0.8891
503;-0.9417
504;-0.7547
505;-0.0304
506;0.5887
507;1.1174
508;0.7873
509;0.8428
510;-0.1238
511;-0.6233
512;-0.9621
513;-1.1432
514;-0.4393
515;0.0892
516;0.4952
517;0.8837
518;1.0239
519;0.4835
520;0.098
521;-0.5211
522;-0.8102
523;-1.1082
524;-0.3546
525;0.2411
526;0.8428
527;0.8165
528;0.5653
529;0.2878
530;-0.2845
531;-0.4334
532;-0.6671
533;-0.4422
534;-0.2903
535;0.7085
536;0.7435
537;0.9626
538;0.542
539;-0.0072
540;-0.5649
541;-0.8862
542;-0.7869
543;-0.6204
544;0.1506
545;0.5653
546;1.021
547;0.9246
548;0.3141
549;-0.0771
550;-0.4627
551;-0.8336
552;-0.784
553;-0.1998
554;0.355
555;0.6793
556;0.8662
557;0.4573
558;0.3054
559;-0.2144
560;-0.3838
561;-0.8803
562;-0.3663
563;0.1184
564;0.4456
565;0.6588
566;0.1885
567;0.4134
568;-0.0158
569;-0.3809
570;-0.7577
571;-0.4013
572;0.4105
573;0.5332
574;0.615
575;0.6121
576;0.5274
577;0.1038
578;-0.7168
579;-1.1783
580;-0.2611
581;0.2674
582;0.6617
